"id","icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","geo_altitude","squawk","spi","position_source","timestamp"
16,"80164e","AIC2628 ","India","1752744458","1752744459","73.3344","16.1982","6957.06",False,"220.81","331.17","8.13","7299.96",NULL,False,0,"2025-07-17 14:58:00.832716+05:30"
17,"801663","IGO2521 ","India","1752744461","1752744461","77.4329","28.5329","2697.48",False,"143.39","105.18","9.43","2720.34",NULL,False,0,"2025-07-17 14:58:00.832716+05:30"
18,"801667","AIC388  ","India","1752744461","1752744461","88.1363","21.7111","11285.22",False,"233","128.19","-0.33","12039.6","0553",False,0,"2025-07-17 14:58:00.832716+05:30"
19,"801660","VTZTT   ","India","1752744461","1752744461","73.1745","18.7879","11879.58",False,"227.29","148.32","-0.65","12618.72",NULL,False,0,"2025-07-17 14:58:00.841473+05:30"
20,"801673","AXB711  ","India","1752744419","1752744419","72.4261","16.9162","10363.2",False,"251.47","296.09","-0.33","10988.04",NULL,False,0,"2025-07-17 14:58:00.841473+05:30"
21,"801641","AXB1142 ","India","1752744575","1752744575","86.3276","26.0604","11277.6",False,"231.11","88.09","0","12054.84","0533",False,0,"2025-07-17 14:59:49.665728+05:30"
22,"801644","VTBHK   ","India","1752744575","1752744575","77.3312","30.1827","2819.4",False,"77.54","154.45","0","2895.6",NULL,False,0,"2025-07-17 14:59:49.681967+05:30"
23,"80160a","IGO639P ","India","1752744515","1752744520","73.0052","18.4108","7574.28",False,"206.93","145.12","7.15","7475.22",NULL,False,0,"2025-07-17 14:59:49.691218+05:30"
24,"801616","IGO53AE ","India","1752744575","1752744575","73.2726","18.8197","5196.84",False,"205.02","330.54","7.8","5387.34",NULL,False,0,"2025-07-17 14:59:49.691218+05:30"
25,"801618","SDG213  ","India","1752744573","1752744573","77.1902","15.5421","8839.2",False,"227.5","41.15","-0.33","9304.02",NULL,False,0,"2025-07-17 14:59:49.691218+05:30"
26,"80160f","IGO6595 ","India","1752744573","1752744573","73.4755","19.5867","10370.82",False,"237.1","346.96","0","11018.52",NULL,False,0,"2025-07-17 14:59:49.698577+05:30"
27,"80160d","AXB2738 ","India","1752744379","1752744379","78.1998","14.1022","6332.22",False,"222.7","209.17","-12.03","7391.4",NULL,False,0,"2025-07-17 14:59:49.698577+05:30"
28,"801627","AXB1153 ","India","1752744575","1752744575","77.0783","29.7925","6576.06",False,"203.02","193.33","-9.75","6964.68",NULL,False,0,"2025-07-17 14:59:49.698577+05:30"
29,"801632","AKJ156C ","India","1752744574","1752744576","85.3128","22.6679","10546.08",False,"225.93","79.64","-4.55","11262.36","0337",False,0,"2025-07-17 14:59:49.698577+05:30"
30,"801685","AXB1596 ","India","1752744575","1752744575","88.4432","22.651",NULL,True,"5.66","36.56",NULL,NULL,"1361",False,0,"2025-07-17 14:59:49.698577+05:30"
31,"801684","GOA5606 ","India","1752744534","1752744536","73.9705","18.5791","876.3",False,"57.25","274.12","-2.6","830.58",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
32,"80167e","AIC2524 ","India","1752744575","1752744576","76.9864","28.5641","754.38",False,"81.36","103.16","-4.88","647.7",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
33,"80167f","AIC2465 ","India","1752744575","1752744576","77.1102","28.1859","4038.6",False,"161.74","199.7","14.31","4160.52",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
34,"80164b","IGO1154 ","India","1752744575","1752744575","79.8188","28.0435","11590.02",False,"248.27","289.11","0.33","12397.74",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
35,"80164e","AIC2628 ","India","1752744524","1752744524","73.2674","16.3152","7459.98",False,"225.9","330.98","6.83","7825.74",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
36,"801663","IGO2521 ","India","1752744575","1752744575","77.6104","28.4856","3817.62",False,"174.44","107.15","5.2","3931.92",NULL,False,0,"2025-07-17 14:59:49.706622+05:30"
37,"801667","AIC388  ","India","1752744575","1752744575","88.3382","21.5623","11269.98",False,"232.19","128.34","0","12024.36","0553",False,0,"2025-07-17 14:59:49.706622+05:30"
38,"801660","VTZTT   ","India","1752744575","1752744575","73.3021","18.5906","11879.58",False,"222.87","148.4","0","12618.72",NULL,False,0,"2025-07-17 14:59:49.71468+05:30"
39,"801673","AXB711  ","India","1752744419","1752744419","72.4261","16.9162","10363.2",False,"251.47","296.09","-0.33","10988.04",NULL,False,0,"2025-07-17 14:59:49.71468+05:30"
40,"801670","AXB2656 ","India","1752744575","1752744575","88.1552","24.0739","10576.56",False,"235.72","217.2","3.25","11285.22","2614",False,0,"2025-07-17 14:59:49.71468+05:30"
41,"801641","AXB1142 ","India","1752744662","1752744662","86.5287","26.0666","11277.6",False,"233.67","88.23","0","12054.84","0533",False,0,"2025-07-17 15:01:16.294145+05:30"
42,"801644","VTBHK   ","India","1752744614","1752744614","77.3449","30.1578","2819.4",False,"77.54","154.45","0","2895.6",NULL,False,0,"2025-07-17 15:01:16.326713+05:30"
43,"80160a","IGO639P ","India","1752744644","1752744644","73.1547","18.2086","8458.2",False,"215.24","144.83","6.5","8039.1",NULL,False,0,"2025-07-17 15:01:16.326713+05:30"
44,"801616","IGO53AE ","India","1752744661","1752744662","73.2407","18.9785","6187.44",False,"205.94","350.66","16.91","6477",NULL,False,0,"2025-07-17 15:01:16.326713+05:30"
45,"801618","SDG213  ","India","1752744590","1752744645","77.2141","15.5686","8839.2",False,"227.84","41.25","0","9304.02",NULL,False,0,"2025-07-17 15:01:16.326713+05:30"
46,"80160f","IGO6595 ","India","1752744634","1752744643","73.4447","19.7124","10363.2",False,"237.6","346.99","0","11010.9",NULL,False,0,"2025-07-17 15:01:16.326713+05:30"
47,"80160d","AXB2738 ","India","1752744379","1752744379","78.1998","14.1022","6332.22",False,"222.7","209.17","-12.03","7391.4",NULL,False,0,"2025-07-17 15:01:16.334037+05:30"
48,"801627","AXB1153 ","India","1752744661","1752744662","77.0381","29.6428","5775.96",False,"193.41","193.22","-11.38","6073.14",NULL,False,0,"2025-07-17 15:01:16.335281+05:30"
49,"801632","AKJ156C ","India","1752744663","1752744663","85.5025","22.7011","10203.18",False,"229.21","76.37","-3.25","10873.74","0337",False,0,"2025-07-17 15:01:16.335281+05:30"
50,"801685","AXB1596 ","India","1752744659","1752744659","88.4444","22.6595",NULL,True,"10.29","16.88",NULL,NULL,"1361",False,0,"2025-07-17 15:01:16.335281+05:30"
51,"801684","GOA5606 ","India","1752744534","1752744588","73.9705","18.5791","876.3",False,"56.16","273.15","-2.6","822.96",NULL,False,0,"2025-07-17 15:01:16.335281+05:30"
52,"80167e","AIC2524 ","India","1752744651","1752744662","77.0372","28.5532","502.92",False,"63.51","103.59","-3.9","373.38",NULL,False,0,"2025-07-17 15:01:16.345654+05:30"
53,"80167f","AIC2465 ","India","1752744663","1752744663","77.0973","28.0556","4998.72",False,"173.48","182.04","8.78","5212.08",NULL,False,0,"2025-07-17 15:01:16.345654+05:30"
54,"80164b","IGO1154 ","India","1752744614","1752744614","79.7263","28.0724","11597.64",False,"247.5","289.68","0","12412.98",NULL,False,0,"2025-07-17 15:01:16.345654+05:30"
55,"80164e","AIC2628 ","India","1752744660","1752744660","73.1255","16.5626","8321.04",False,"234.2","330.96","3.9","8770.62",NULL,False,0,"2025-07-17 15:01:16.350332+05:30"
56,"801663","IGO2521 ","India","1752744662","1752744662","77.7602","28.4449","3962.4",False,"175.33","110.62","-0.33","4084.32",NULL,False,0,"2025-07-17 15:01:16.352155+05:30"
57,"801667","AIC388  ","India","1752744662","1752744662","88.4897","21.4503","11277.6",False,"232.19","128.34","0","12031.98","0553",False,0,"2025-07-17 15:01:16.352155+05:30"
58,"801660","VTZTT   ","India","1752744662","1752744662","73.3982","18.4415","11887.2",False,"224.29","148.32","-0.33","12626.34",NULL,False,0,"2025-07-17 15:01:16.352155+05:30"
59,"801673","AXB711  ","India","1752744419","1752744419","72.4261","16.9162","10363.2",False,"251.47","296.09","-0.33","10988.04",NULL,False,0,"2025-07-17 15:01:16.36067+05:30"
60,"801670","AXB2656 ","India","1752744662","1752744662","88.0322","23.9261","10820.4",False,"239.77","217.85","2.6","11544.3","2614",False,0,"2025-07-17 15:01:16.362691+05:30"
61,"801641","AXB1142 ","India","1752744680","1752744680","86.5709","26.0678","11277.6",False,"234.18","88.24","0.33","12054.84","0533",False,0,"2025-07-17 15:01:33.314079+05:30"
62,"801644","VTBHK   ","India","1752744614","1752744614","77.3449","30.1578","2819.4",False,"77.54","154.45","0","2895.6",NULL,False,0,"2025-07-17 15:01:33.322101+05:30"
63,"80160a","IGO639P ","India","1752744674","1752744674","73.1899","18.1608","8656.32",False,"218.65","144.96","7.8","9159.24",NULL,False,0,"2025-07-17 15:01:33.322101+05:30"
64,"801616","IGO53AE ","India","1752744675","1752744679","73.2364","19.0034","6377.94",False,"204.84","350.75","9.43","6697.98",NULL,False,0,"2025-07-17 15:01:33.322101+05:30"
65,"801618","SDG213  ","India","1752744590","1752744645","77.2141","15.5686","8839.2",False,"227.84","41.25","0","9304.02",NULL,False,0,"2025-07-17 15:01:33.322101+05:30"
66,"80160f","IGO6595 ","India","1752744672","1752744672","73.425","19.7935","10370.82",False,"237.1","346.96","0","11018.52",NULL,False,0,"2025-07-17 15:01:33.330422+05:30"
67,"80160d","AXB2738 ","India","1752744379","1752744379","78.1998","14.1022","6332.22",False,"222.7","209.17","-12.03","7391.4",NULL,False,0,"2025-07-17 15:01:33.330422+05:30"
68,"801627","AXB1153 ","India","1752744680","1752744680","77.0297","29.6113","5600.7",False,"191.79","193.18","-9.43","5890.26",NULL,False,0,"2025-07-17 15:01:33.330422+05:30"
69,"801632","AKJ156C ","India","1752744680","1752744680","85.5393","22.7144","10142.22",False,"230.82","64.81","-3.9","10812.78","0337",False,0,"2025-07-17 15:01:33.330422+05:30"
70,"801685","AXB1596 ","India","1752744672","1752744678","88.4446","22.6608",NULL,True,"11.83","5.62",NULL,NULL,"1361",False,0,"2025-07-17 15:01:33.336944+05:30"
71,"801684","GOA5606 ","India","1752744534","1752744588","73.9705","18.5791","876.3",False,"56.16","273.15","-2.6","822.96",NULL,False,0,"2025-07-17 15:01:33.338264+05:30"
72,"80167e","AIC2524 ","India","1752744677","1752744677","77.0541","28.5496","419.1",False,"63.63","104.04","-3.25","304.8",NULL,False,0,"2025-07-17 15:01:33.340426+05:30"
73,"80167f","AIC2465 ","India","1752744681","1752744681","77.0962","28.0276","5158.74",False,"176.6","182.34","10.08","5379.72",NULL,False,0,"2025-07-17 15:01:33.340426+05:30"
74,"80164b","IGO1154 ","India","1752744614","1752744614","79.7263","28.0724","11597.64",False,"247.5","289.68","0","12412.98",NULL,False,0,"2025-07-17 15:01:33.340426+05:30"
75,"80164e","AIC2628 ","India","1752744674","1752744675","73.1108","16.5883","8389.62",False,"234.65","331.02","5.85","8854.44",NULL,False,0,"2025-07-17 15:01:33.340426+05:30"
76,"801663","IGO2521 ","India","1752744680","1752744680","77.7881","28.4292","3962.4",False,"176.5","130.98","0.65","4084.32",NULL,False,0,"2025-07-17 15:01:33.346318+05:30"
77,"801667","AIC388  ","India","1752744680","1752744680","88.5221","21.4263","11277.6",False,"232.19","128.34","0","12031.98","0553",False,0,"2025-07-17 15:01:33.346318+05:30"
78,"801660","VTZTT   ","India","1752744680","1752744680","73.4182","18.4104","11879.58",False,"225.17","148.45","0","12618.72",NULL,False,0,"2025-07-17 15:01:33.346318+05:30"
79,"801673","AXB711  ","India","1752744419","1752744419","72.4261","16.9162","10363.2",False,"251.47","296.09","-0.33","10988.04",NULL,False,0,"2025-07-17 15:01:33.346318+05:30"
80,"801670","AXB2656 ","India","1752744680","1752744680","88.0063","23.8956","10866.12",False,"240.8","217.97","1.95","11590.02","2614",False,0,"2025-07-17 15:01:33.346318+05:30"
81,"801641","AXB1142 ","India","1752745076","1752745076","87.4932","26.0919","11277.6",False,"232.1","88.48","0","12054.84","0533",False,0,"2025-07-17 15:08:09.20852+05:30"
82,"801653","GOA5502 ","India","1752745053","1752745053","77.648","13.221","1363.98",False,"69.18","290.46","1.95","1310.64",NULL,False,0,"2025-07-17 15:08:09.225638+05:30"
83,"80160a","IGO639P ","India","1752745076","1752745076","73.6782","17.4941","10668",False,"221.22","144.94","0","11338.56",NULL,False,0,"2025-07-17 15:08:09.226623+05:30"
84,"801616","IGO53AE ","India","1752745070","1752745075","73.1139","19.7487","9098.28",False,"234.28","351.16","5.85","9669.78",NULL,False,0,"2025-07-17 15:08:09.226623+05:30"
85,"801623","AXB1214 ","India","1752745076","1752745076","73.4117","16.0025","4991.1",False,"181.98","333.29","7.8","5143.5",NULL,False,0,"2025-07-17 15:08:09.227627+05:30"
86,"80160f","IGO6595 ","India","1752744789","1752744796","73.3661","20.0343","10363.2",False,"234.98","346.97","0","11010.9",NULL,False,0,"2025-07-17 15:08:09.227627+05:30"
87,"80160d","AXB2738 ","India","1752745060","1752745060","77.9067","13.2112","1752.6",False,"94.17","236.14","-3.25","1722.12",NULL,False,0,"2025-07-17 15:08:09.228624+05:30"
88,"801627","AXB1153 ","India","1752745074","1752745076","76.878","29.041","3048",False,"139.39","193.01","0","3108.96",NULL,False,0,"2025-07-17 15:08:09.228624+05:30"
89,"801632","AKJ156C ","India","1752745076","1752745076","86.3431","22.9746","9273.54",False,"208.47","91.98","-5.2","9875.52","0337",False,0,"2025-07-17 15:08:09.229621+05:30"
90,"80161d","AKJ136V ","India","1752745075","1752745076","77.5971","13.6036","4678.68",False,"179.95","334.61","6.5","4815.84",NULL,False,0,"2025-07-17 15:08:09.230632+05:30"
91,"801685","AXB1596 ","India","1752745076","1752745076","88.2427","22.5791","2720.34",False,"127.6","302.15","13.33","2758.44","1361",False,0,"2025-07-17 15:08:09.231632+05:30"
92,"80167f","AIC2465 ","India","1752745076","1752745077","77.063","27.3501","8549.64",False,"194.51","181.36","8.13","9098.28",NULL,False,0,"2025-07-17 15:08:09.231632+05:30"
93,"801699","AXB1574 ","India","1752745075","1752745075","77.5815","13.4192","3261.36",False,"160.94","56.21","5.53","3291.84",NULL,False,0,"2025-07-17 15:08:09.23263+05:30"
94,"80164b","","India","1752745076","1752745076","78.6456","28.4078","8587.74",False,"230.69","289","-4.88","9136.38",NULL,False,0,"2025-07-17 15:08:09.23263+05:30"
95,"80164e","AIC2628 ","India","1752745077","1752745077","72.8283","17.4074","9448.8",False,"246.5","1.44","0","10012.68",NULL,False,0,"2025-07-17 15:08:09.233637+05:30"
96,"801663","IGO2521 ","India","1752745076","1752745076","78.3753","28.0077","6408.42",False,"203.75","123.57","-0.33","6743.7",NULL,False,0,"2025-07-17 15:08:09.234601+05:30"
97,"801667","AIC388  ","India","1752745076","1752745076","89.2162","20.9087","11277.6",False,"234.13","128.13","0","12031.98","0553",False,0,"2025-07-17 15:08:09.2356+05:30"
98,"801660","VTZTT   ","India","1752745076","1752745076","73.8611","17.7194","11887.2",False,"228.34","148.64","-0.65","12618.72",NULL,False,0,"2025-07-17 15:08:09.2356+05:30"
99,"801673","AXB711  ","India","1752745076","1752745076","71.0297","17.581","10363.2",False,"251.46","296.36","0.33","10995.66",NULL,False,0,"2025-07-17 15:08:09.236624+05:30"
100,"801670","AXB2656 ","India","1752745076","1752745076","87.447","23.1944","11582.4",False,"246.63","215.15","0","12367.26","2614",False,0,"2025-07-17 15:08:09.236624+05:30"
101,"801641","AXB1142 ","India","1752745080","1752745080","87.502","26.0921","11277.6",False,"232.1","88.48","-0.33","12054.84","0533",False,0,"2025-07-17 15:08:09.468006+05:30"
102,"801653","GOA5502 ","India","1752745053","1752745053","77.648","13.221","1363.98",False,"69.18","290.46","1.95","1310.64",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
103,"80160a","IGO639P ","India","1752745080","1752745081","73.6827","17.488","10668",False,"221.64","145.02","0","11338.56",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
104,"801616","IGO53AE ","India","1752745070","1752745075","73.1139","19.7487","9098.28",False,"234.28","351.16","5.85","9669.78",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
105,"801623","AXB1214 ","India","1752745078","1752745078","73.4103","16.0053","5006.34",False,"181.98","333.29","7.8","5143.5",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
106,"80160f","IGO6595 ","India","1752744789","1752744796","73.3661","20.0343","10363.2",False,"234.98","346.97","0","11010.9",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
107,"80160d","AXB2738 ","India","1752745060","1752745077","77.9067","13.2112","1752.6",False,"89.03","236.31","-4.88","1691.64",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
108,"801627","AXB1153 ","India","1752745080","1752745080","76.8763","29.0345","3048",False,"139.39","193.01","0","3108.96",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
109,"801632","AKJ156C ","India","1752745079","1752745080","86.3502","22.9744","9258.3",False,"208.46","91.84","-4.88","9852.66","0337",False,0,"2025-07-17 15:08:09.468006+05:30"
110,"80161d","AKJ136V ","India","1752745075","1752745076","77.5971","13.6036","4678.68",False,"179.95","334.61","6.5","4815.84",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
111,"801685","AXB1596 ","India","1752745080","1752745080","88.2382","22.5817","2773.68",False,"127.93","301.52","13.66","2804.16","1361",False,0,"2025-07-17 15:08:09.468006+05:30"
112,"80167f","AIC2465 ","India","1752745080","1752745080","77.0628","27.3425","8587.74",False,"194.54","181.67","7.15","9128.76",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
113,"801699","AXB1574 ","India","1752745078","1752745078","77.5854","13.4214","3276.6",False,"162.55","61.24","4.55","3299.46",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
114,"80164b","IGO1154 ","India","1752745080","1752745080","78.6369","28.4105","8564.88",False,"230.69","289","-4.88","9136.38",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
115,"80164e","AIC2628 ","India","1752745080","1752745080","72.8285","17.4142","9448.8",False,"246.51","1.55","0","10012.68",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
116,"801663","IGO2521 ","India","1752745080","1752745080","78.3812","28.0043","6408.42",False,"204.32","123.81","-0.33","6743.7",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
117,"801667","AIC388  ","India","1752745080","1752745080","89.2236","20.9033","11277.6",False,"233.36","127.48","-0.33","12031.98","0553",False,0,"2025-07-17 15:08:09.468006+05:30"
118,"801660","VTZTT   ","India","1752745080","1752745080","73.8648","17.7136","11887.2",False,"228.34","148.64","-0.65","12618.72",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
119,"801673","AXB711  ","India","1752745080","1752745080","71.021","17.5851","10363.2",False,"251","296.41","0","10995.66",NULL,False,0,"2025-07-17 15:08:09.468006+05:30"
120,"801670","AXB2656 ","India","1752745080","1752745080","87.4418","23.1877","11582.4",False,"246.51","215.32","0","12367.26","2614",False,0,"2025-07-17 15:08:09.468006+05:30"
121,"801641","AXB1142 ","India","1752745095","1752745095","87.5363","26.0929","11277.6",False,"232.08","88.6","0.33","12054.84","0533",False,0,"2025-07-17 15:08:21.644066+05:30"
122,"801653","GOA5502 ","India","1752745094","1752745095","77.6193","13.2393","1600.2",False,"90.47","302.7","4.55","1623.06",NULL,False,0,"2025-07-17 15:08:21.655065+05:30"
123,"80160a","IGO639P ","India","1752745096","1752745096","73.7009","17.4631","10668",False,"221.64","145.02","0","11338.56",NULL,False,0,"2025-07-17 15:08:21.656066+05:30"
124,"801616","IGO53AE ","India","1752745070","1752745075","73.1139","19.7487","9098.28",False,"234.28","351.16","5.85","9669.78",NULL,False,0,"2025-07-17 15:08:21.657064+05:30"
125,"801623","AXB1214 ","India","1752745095","1752745095","73.3968","16.0312","5151.12",False,"183.59","333.36","7.8","5326.38",NULL,False,0,"2025-07-17 15:08:21.658064+05:30"
126,"80160f","IGO6595 ","India","1752744789","1752744796","73.3661","20.0343","10363.2",False,"234.98","346.97","0","11010.9",NULL,False,0,"2025-07-17 15:08:21.658064+05:30"
127,"80160d","AXB2738 ","India","1752745060","1752745077","77.9067","13.2112","1752.6",False,"89.03","236.31","-4.88","1691.64",NULL,False,0,"2025-07-17 15:08:21.659062+05:30"
128,"801627","AXB1153 ","India","1752745095","1752745095","76.8712","29.0153","3048",False,"138.89","193.06","0","3108.96",NULL,False,0,"2025-07-17 15:08:21.659062+05:30"
129,"801632","AKJ156C ","India","1752745094","1752745096","86.3809","22.9735","9182.1",False,"208.47","91.98","-5.2","9776.46","0337",False,0,"2025-07-17 15:08:21.659062+05:30"
130,"80161d","AKJ136V ","India","1752745075","1752745076","77.5971","13.6036","4678.68",False,"179.95","334.61","6.5","4815.84",NULL,False,0,"2025-07-17 15:08:21.660062+05:30"
131,"801685","AXB1596 ","India","1752745095","1752745095","88.2219","22.5908","2910.84",False,"134.28","300.89","3.9","2956.56","1361",False,0,"2025-07-17 15:08:21.660062+05:30"
132,"80167f","AIC2465 ","India","1752745096","1752745096","77.0618","27.3157","8679.18",False,"195.11","182.12","4.23","9227.82",NULL,False,0,"2025-07-17 15:08:21.661067+05:30"
133,"801699","AXB1574 ","India","1752745095","1752745095","77.6103","13.4302","3444.24",False,"163.82","71.51","10.08","3497.58",NULL,False,0,"2025-07-17 15:08:21.661067+05:30"
134,"80164b","IGO1154 ","India","1752745095","1752745095","78.6018","28.4212","8481.06",False,"229.55","288.96","-5.53","9029.7",NULL,False,0,"2025-07-17 15:08:21.662063+05:30"
135,"80164e","AIC2628 ","India","1752745095","1752745095","72.8294","17.4482","9448.8",False,"246.51","1.55","0","10012.68",NULL,False,0,"2025-07-17 15:08:21.662063+05:30"
136,"801663","IGO2521 ","India","1752745095","1752745095","78.4076","27.9884","6423.66",False,"204.47","124.13","3.58","6751.32",NULL,False,0,"2025-07-17 15:08:21.663066+05:30"
137,"801667","AIC388  ","India","1752745095","1752745095","89.2504","20.8847","11277.6",False,"233.78","126.14","0","12031.98","0553",False,0,"2025-07-17 15:08:21.663066+05:30"
138,"801660","VTZTT   ","India","1752745095","1752745095","73.8827","17.6857","11887.2",False,"228.34","148.64","0.33","12618.72",NULL,False,0,"2025-07-17 15:08:21.664069+05:30"
139,"801673","AXB711  ","India","1752745095","1752745095","70.9895","17.6001","10363.2",False,"251.46","296.36","0","10995.66",NULL,False,0,"2025-07-17 15:08:21.665065+05:30"
140,"801670","AXB2656 ","India","1752745096","1752745096","87.4198","23.1591","11582.4",False,"246.69","215.58","0.33","12367.26","2614",False,0,"2025-07-17 15:08:21.665065+05:30"
141,"801641","AXB1142 ","India","1752745090","1752745090","87.5252","26.0926","11277.6",False,"232.08","88.6","0.33","12054.84","0533",False,0,"2025-07-17 15:08:21.811911+05:30"
142,"801653","GOA5502 ","India","1752745090","1752745091","77.6225","13.2373","1577.34",False,"90.04","302.87","5.85","1592.58",NULL,False,0,"2025-07-17 15:08:21.814598+05:30"
143,"80160a","IGO639P ","India","1752745090","1752745090","73.6939","17.4726","10668",False,"221.64","145.02","-0.33","11338.56",NULL,False,0,"2025-07-17 15:08:21.815688+05:30"
144,"801616","IGO53AE ","India","1752745070","1752745075","73.1139","19.7487","9098.28",False,"234.28","351.16","5.85","9669.78",NULL,False,0,"2025-07-17 15:08:21.816686+05:30"
145,"801623","AXB1214 ","India","1752745090","1752745090","73.4005","16.024","5105.4",False,"183.13","333.29","7.8","5273.04",NULL,False,0,"2025-07-17 15:08:21.816686+05:30"
146,"80160f","IGO6595 ","India","1752744789","1752744796","73.3661","20.0343","10363.2",False,"234.98","346.97","0","11010.9",NULL,False,0,"2025-07-17 15:08:21.817685+05:30"
147,"80160d","AXB2738 ","India","1752745060","1752745077","77.9067","13.2112","1752.6",False,"89.03","236.31","-4.88","1691.64",NULL,False,0,"2025-07-17 15:08:21.817685+05:30"
148,"801627","AXB1153 ","India","1752745083","1752745086","76.8755","29.0312","3048",False,"139.39","193.01","0","3108.96",NULL,False,0,"2025-07-17 15:08:21.818684+05:30"
149,"801632","AKJ156C ","India","1752745091","1752745091","86.3732","22.9737","9197.34",False,"208.46","91.84","-5.2","9799.32","0337",False,0,"2025-07-17 15:08:21.818684+05:30"
150,"80161d","AKJ136V ","India","1752745075","1752745076","77.5971","13.6036","4678.68",False,"179.95","334.61","6.5","4815.84",NULL,False,0,"2025-07-17 15:08:21.820685+05:30"
151,"801685","AXB1596 ","India","1752745090","1752745090","88.2275","22.5877","2887.98",False,"130.58","300.81","5.85","2933.7","1361",False,0,"2025-07-17 15:08:21.820685+05:30"
152,"80167f","AIC2465 ","India","1752745091","1752745091","77.0621","27.3247","8648.7",False,"194.57","181.97","5.2","9204.96",NULL,False,0,"2025-07-17 15:08:21.821686+05:30"
153,"801699","AXB1574 ","India","1752745090","1752745090","77.6028","13.4278","3390.9",False,"163.17","71.62","10.73","3429",NULL,False,0,"2025-07-17 15:08:21.821686+05:30"
